Max. Equipment Designation,Absolute ceiling,Best glide ratio,Cruising altitude,Cruising speed,Endurance,Fuel with max payload,Gross wing area,"Ground clearance, fuselage","Height, alternate configuration","Height, fuselage","Height, overall",Landing run,"Length, alternate configuration","Length, fuselage","Length, overall",Loitering speed,Max T-O weight,Max certified altitude,Max fuel weight,Max launch weight,Max level speed,Max operating speed,Max payload,Never-exceed speed,Operating altitude,"Operating weight, empty",Payload with max fuel,Propeller diameter,Radius of operation,Range,Rate of climb,Service ceiling,Stalling speed,T-O run,T-O speed,Tailplane span,Weapons bay volume,Weight empty,"Weight empty, equipped","Width, fuselage","Width, overall",Wing aspect ratio,Wing span,g limits
Raybird-3,"4,500 m (14,765 ft)",,,"59.4 kt (110 km/h, 68.4 mph) 59.4 kt (110 km/h, 68.4 mph)","18 hr 0 min (min, max payload) 28 hr 0 min (max)",,0.9 m² (9.69 sq ft),,,,320 mm (1 ft 1/2 in) 320 mm (1 ft 1/2 in),,,,1.83 m (6 ft) 1.83 m (6 ft),,23 kg (51 lb),,,,"75.6 kt (140 km/h, 87 mph) 75.6 kt (140 km/h, 87 mph)",,5 kg (11 lb),,,,,,"100 km (54 nm, 62.1 mi) (high-definition video transmission) 100 km (54 nm, 62.1 mi) (high-definition video transmission) 120 km (64.8 nm, 74.6 mi) (telemetry with video, direct control mode) 120 km (64.8 nm, 74.6 mi) (telemetry with video, direct control mode)","2,500 km (1,350 nm, 1,555 mi) (max, automatic flight mode) 2,500 km (1,350 nm, 1,555 mi) (max, automatic flight mode)",,"3,500 m (11,485 ft)","43.2 kt (80 km/h, 49.7 mph)",,,,,11 kg (24 lb),,,,,2.96 m (9 ft 8 1/2 in) 2.96 m (9 ft 8 1/2 in),
RemoEye-006,,,,,2 hr,,,,,,,,,,1.72 m (5 ft 7 3/4 in) 1.72 m (5 ft 7 3/4 in),,6.5 kg (14 lb),,,,"40.5 kt (75 km/h, 46.6 mph) 40.5 kt (75 km/h, 46.6 mph)",,,,,,,,,"15 km (8.1 nm, 9.32 mi) (operational) 15 km (8.1 nm, 9.32 mi) (operational)",,,,,,,,,,,,,2.72 m (8 ft 11 in) 2.72 m (8 ft 11 in),
RemoEye-006A,,,,,2 hr,,,,,,,,,,1.72 m (5 ft 7 3/4 in) 1.72 m (5 ft 7 3/4 in),,6.5 kg (14 lb),,,,"40.5 kt (75 km/h, 46.6 mph) 40.5 kt (75 km/h, 46.6 mph)",,,,,,,,,"15 km (8.1 nm, 9.32 mi) (operational) 15 km (8.1 nm, 9.32 mi) (operational)",,,,,,,,,,,,,2.72 m (8 ft 11 in) 2.72 m (8 ft 11 in),
Rover Mk I,,,,"16.2 kt (30 km/h, 18.6 mph) 16.2 kt (30 km/h, 18.6 mph)","0 hr 45 min (typical, battery capacity/throttle management dependent) 1 hr 0 min (battery capacity/throttle management dependent)",,0.36 m² (3.88 sq ft),,,,200 mm (7 3/4 in) 200 mm (7 3/4 in),,,,900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in),,5.5 kg (12 lb),,,,"54 kt (100 km/h, 62.1 mph) 54 kt (100 km/h, 62.1 mph)",,1.0 kg (2 lb 3 1/4 oz),,,,,,,"12 km (6.4 nm, 7.45 mi) (maximum, GPS/autonomous) 12 km (6.4 nm, 7.45 mi) (maximum, GPS/autonomous)",,,,,,,,"3.5 kg (7 lb 11 1/2 oz) (maximum, dry)",,,,,1.5 m (4 ft 11 in) 1.5 m (4 ft 11 in),
Rover Mk II XS,,,,,0 hr 45 min ( battery capacity/throttle management dependent) 1 hr 0 min (battery capacity/throttle management dependent),,1.03 m² (11.1 sq ft),,,,300 mm (11 3/4 in),,,,160 mm (6 1/4 in),,6.5 kg (14 lb),,,,,,1.0 kg (2 lb 3 1/4 oz),,,,,,,"15 km (8.1 nm, 9.32 mi) (maximum, GPS/autonomous)",,,,,,,,,,,,,3 m (9 ft 10 in),
SAT-i,,,,"15.7 kt (29 km/h, 18 mph) 15.7 kt (29 km/h, 18 mph)","2 hr 0 min (typical, battery power, up to 0.6 kg payload) 4 hr 0 min (battery power, up to 0.6 kg payload)",,,,,,530 mm (1 ft 8 3/4 in) 530 mm (1 ft 8 3/4 in),,,,3.20 m (10 ft 6 in) 3.20 m (10 ft 6 in),,6.3 kg (14 lb),,,,"27 kt (50 km/h, 31.1 mph) 27 kt (50 km/h, 31.1 mph)",,600 g (1 lb 5 1/4 oz),,"400 m (1,310 ft) (optimum for ground observation)",,,,"250 km (135 nm, 155 mi)",,180 m/min (591 ft/min),"9,000 m (29,530 ft) (using solar power)",,,,,,,,,,,7.30 m (23 ft 11 1/2 in) 7.30 m (23 ft 11 1/2 in),
SPEAR,,,,"40 kt (74.1 km/h, 46 mph) 40 kt (74.1 km/h, 46 mph)",1 hr (electric) 2 hr 48 min (piston),,,,,,460 mm (1 ft 6 in) (excl propeller) 460 mm (1 ft 6 in) (excl propeller),,,,1.94 m (6 ft 4 1/2 in) 1.94 m (6 ft 4 1/2 in),,17.24 kg (38 lb),,,,"50 kt (92.6 km/h, 57.5 mph) (fully loaded) 50 kt (92.6 km/h, 57.5 mph) (fully loaded)",,4.54 kg (10 lb),,"1,524 m (5,000 ft)",,,,,,,"3,050 m (10,005 ft)","19.6 kt (36.3 km/h, 22.6 mph) (empty weight) 24.7 kt (45.8 km/h, 28.5 mph) (fully loaded)",,,,,3.6 kg (7 lb 15 oz) (electric) 9.53 kg (21 lb) (piston),,,3.65 m (11 ft 11 3/4 in),,3.66 m (12 ft) (minimum option) 3.66 m (12 ft) (minimum option) 4.3 m (14 ft 1 1/4 in) (maximum option) 4.3 m (14 ft 1 1/4 in) (maximum option),
SPECTATOR,,,,"21.6 kt (40 km/h, 24.9 mph) 21.6 kt (40 km/h, 24.9 mph)",3 hr 0 min,,,,,,,,,,1.345 m (4 ft 5 in) 1.345 m (4 ft 5 in),,7 kg (15 lb),,,,"64.8 kt (120 km/h, 74.6 mph) 64.8 kt (120 km/h, 74.6 mph)",,1.5 kg (3 lb 5 oz),,,,,,"20.3 km (11 nm, 12.6 mi) 20.3 km (11 nm, 12.6 mi)","30 km (16.2 nm, 18.6 mi) (typical) 30 km (16.2 nm, 18.6 mi) (typical) 50 km (27 nm, 31 mi) (maximum) 50 km (27 nm, 31 mi) (maximum)",,"2,000 m (6,560 ft)",,,,,,,,,,,3.02 m (9 ft 11 in) 3.02 m (9 ft 11 in),
SPECTATOR-M1,,,,"21.6 kt (40 km/h, 24.9 mph) 21.6 kt (40 km/h, 24.9 mph)",2 hr 0 min,,,,,,,,,,1.295 m (4 ft 3 in) 1.295 m (4 ft 3 in),,7 kg (15 lb),,,,"64.8 kt (120 km/h, 74.6 mph) 64.8 kt (120 km/h, 74.6 mph)",,1.5 kg (3 lb 5 oz),,,,,,"20.3 km (11 nm, 12.6 mi) 20.3 km (11 nm, 12.6 mi)","30 km (16.2 nm, 18.6 mi) (typical) 30 km (16.2 nm, 18.6 mi) (typical) 50 km (27 nm, 31 mi) (maximum) 50 km (27 nm, 31 mi) (maximum)",,"2,000 m (6,560 ft) (AGL) 3,000 m (9,845 ft)",,,,,,,,,,,3.02 m (9 ft 11 in) 3.02 m (9 ft 11 in),
SQA,,,,"34.9 kt (64.6 km/h, 40.2 mph)",3 hr 0 min,,,,,,,,,,1.2 m (3 ft 11 1/4 in) (Platform) 930 mm (3 ft 1/2 in) (center module),,9.8 kg (22 lb),,,,"46.6 kt (86.3 km/h, 53.6 mph)",,,,,,,,,"40 km (21.6 nm, 24.9 mi) (LOS) 160 km (86.4 nm, 99.4 mi)",,"4,000 m (13,125 ft) (AMSL)",,,,,,,,,,,2.9 m (9 ft 6 1/4 in),
STREAM C,,,,"43.2 kt (80 km/h, 49.7 mph) 43.2 kt (80 km/h, 49.7 mph)","8 hr (typical, payload dependent)",,,,,,,,,,2.3 m (7 ft 6 1/2 in) 2.3 m (7 ft 6 1/2 in),,20 kg (44 lb),,,,"81 kt (150 km/h, 93.2 mph) 81 kt (150 km/h, 93.2 mph)",,,,,,6 kg (13 lb),,,"100 km (54 nm, 62.1 mi) (datalink; typical) 100 km (54 nm, 62.1 mi) (datalink; typical) 150 km (80.9 nm, 93.2 mi) (datalink; max) 150 km (80.9 nm, 93.2 mi) (datalink; max)",,"3,000 m (9,845 ft)",,,,,,10 kg (22 lb),,,,,3.9 m (12 ft 9 1/2 in) 3.9 m (12 ft 9 1/2 in),
ScanEagle,,,,"60 kt (111 km/h, 69 mph) (max) 60 kt (111 km/h, 69 mph) (max)",18 hr (minimum),,,,,,,,,,1.71 m (5 ft 7 1/4 in) 1.71 m (5 ft 7 1/4 in),,26.5 kg (58 lb),,,,"80 kt (148 km/h, 92.1 mph) 80 kt (148 km/h, 92.1 mph)","80 kt (148 km/h, 92.1 mph)",5 kg (11 lb),,,,,,,"100 km (54 nm, 62.1 mi) 100 km (54 nm, 62.1 mi)",,"5,945 m (19,500 ft)",,,,,,13.1 kg (29 lb),,,,,3.11 m (10 ft 2 1/2 in) 3.11 m (10 ft 2 1/2 in),
ScanEagle 2,,,,"50 kt (92.6 km/h, 57.5 mph) (typical) 50 kt (92.6 km/h, 57.5 mph) (typical) 60 kt (111 km/h, 69 mph) (maximum) 60 kt (111 km/h, 69 mph) (maximum)",16  hr (minimum),,,,,,,,,,1.71 m (5 ft 7 1/4 in) 1.71 m (5 ft 7 1/4 in),,26.5 kg (58 lb),,,,"80 kt (148 km/h, 92.1 mph) 80 kt (148 km/h, 92.1 mph)",,5 kg (11 lb),,,,,,,,,"5,950 m (19,520 ft)",,,,,,19 kg (42 lb) (structure),,,,,3.11 m (10 ft 2 1/2 in) 3.11 m (10 ft 2 1/2 in),
Shahzore,,,,,1 hr 30 min,,,,,,,,,,2.54 m (8 ft 4 in) 2.54 m (8 ft 4 in),,28.0 kg (62 lb),,,28.0 kg (62 lb),"148 kt (274 km/h, 170 mph) 148 kt (274 km/h, 170 mph)",,,,,,,,"2.96 km (1.6 nm, 1.84 mi) (mission, normal) 5 km (2.7 nm, 3.1 mi) (mission, autopilot) 5 km (2.7 nm, 3.1 mi) (mission, autopilot) 20 km (10.8 nm, 12.4 mi) (mission, BVR) 20 km (10.8 nm, 12.4 mi) (mission, BVR)",,,,,,,,,,,,,,2.54 m (8 ft 4 in) 2.54 m (8 ft 4 in),
Silent Falcon,,,,"17.3 kt (32 km/h, 19.9 mph) 17.3 kt (32 km/h, 19.9 mph)","3 hr (minimum night, wing configuration dependent) 5 hr (minimum day/maximum night, wing configuration dependent) 12 hr (maximum day, wing configuration dependent)",,,,,,,,,,1.9 m (6 ft 2 3/4 in) (including propeller and spinner) 1.9 m (6 ft 2 3/4 in) (including propeller and spinner),"20 kt (37 km/h, 23 mph) (typical)",11.0 kg (24 lb) (SF-S wing configuration) 11.3 kg (25 lb) (SF-M wing configuration) 14.5 kg (32 lb) (SF-L wing configuration),,,,"60.5 kt (112 km/h, 69.6 mph) 60.5 kt (112 km/h, 69.6 mph)",,,,"6,095 m (20,000 ft) (max; MSL) 76.2 m (250 ft) (min; AGL)",,,,,"15 km (8.1 nm, 9.32 mi) (typical) 15 km (8.1 nm, 9.32 mi) (typical) 50 km (27 nm, 31 mi) (maximum, with optional base station antenna) 50 km (27 nm, 31 mi) (maximum, with optional base station antenna) 100 km (54 nm, 62.1 mi) (with mesh network, wave relay communication) 100 km (54 nm, 62.1 mi) (with mesh network, wave relay communication)",,,,,,,,,,,,,2.7 m (8 ft 10 1/4 in) (SF-S wing configuration) 2.7 m (8 ft 10 1/4 in) (SF-S wing configuration) 4.0 m (13 ft 1 1/2 in) (SF-M wing configuration) 4.0 m (13 ft 1 1/2 in) (SF-M wing configuration) 5.1 m (16 ft 8 3/4 in) (SF-L wing configuration) 5.1 m (16 ft 8 3/4 in) (SF-L wing configuration),
Skiron-X,,,,"36 kt (66.7 km/h, 41.4 mph)",0 hr 25 min (hover) 3 hr 0 min (max),,,,,,,,,,2.2 m (7 ft 2 1/2 in),,22.2 kg (49 lb) (with Trillium HD55 payload and battery),,,,,"50 kt (92.6 km/h, 57.5 mph)",1.45 kg (3 lb 3 1/4 oz) (Trillium HD55),,,,,,,"13 km (7 nm, 8.06 mi)",,,,,,,,,,,,,5 m (16 ft 4 3/4 in),
Skiron-XLE,,,,,5 hr 0 min (est) 7 hr 0 min (with two five litre hydrogen fuel tanks),,,,,,,,,,2.2 m (7 ft 2 1/2 in),,"24.5 kg (54 lb) (with fuel cell, Trillium HD55 payload and battery)",,,,,,1.45 kg (3 lb 3 1/4 oz) (Trillium HD55),,,,,,,"75 km (40.5 nm, 46.6 mi) (with a 2.4G 10W radio and tracking antenna)",,,,,,,,,,,,,5 m (16 ft 4 3/4 in),
Skylark C,,,,,5 hr 0 min,,,,,,,,,,,,15 kg (33 lb),,,,,,,,,,,,,"40 km (21.6 nm, 24.9 mi) 40 km (21.6 nm, 24.9 mi)",,"4,570 m (15,000 ft)",,,,,,,,,3.8 m (12 ft 5 1/2 in) 3.8 m (12 ft 5 1/2 in),,,
Skylark I-LEX,,,,,3 hr,,,,,,,,,,,,7.5 kg (17 lb),,,,,,1.2 kg (2 lb 10 1/4 oz),,,,,,,"40 km (21.6 nm, 24.9 mi) (LOS; communications) 40 km (21.6 nm, 24.9 mi) (LOS; communications)",,"4,570 m (15,000 ft)",,,,,,,,,,,3 m (9 ft 10 in) 3 m (9 ft 10 in),
Skyzer 450,,,,"43 kt (79.6 km/h, 49.5 mph) 43 kt (79.6 km/h, 49.5 mph)",7 hr (electric engine) 15 hr (petrol engine),,,,,,,,,,2.27 m (7 ft 5 1/4 in) 2.27 m (7 ft 5 1/4 in),,21 kg (46 lb) (excluding battery and payload),,,,"70 kt (130 km/h, 80.6 mph) 70 kt (130 km/h, 80.6 mph)",,5 kg (11 lb),,,,,,,,,,"25 kt (46.3 km/h, 28.8 mph)",50 m (164 ft),,,,9 kg (20 lb) (excluding battery and payload),,,,,3.3 m (10 ft 10 in) 3.3 m (10 ft 10 in),
Spirit,,,,"16.2 kt (30 km/h, 18.6 mph) 16.2 kt (30 km/h, 18.6 mph)",1 hr (battery capacity/throttle management dependent),,0.75 m² (8.07 sq ft),,,,260 mm (10 1/4 in) 260 mm (10 1/4 in),,,,1.61 m (5 ft 3 1/2 in) 1.61 m (5 ft 3 1/2 in),,5.5 kg (12 lb),,,,"54 kt (100 km/h, 62.1 mph) 54 kt (100 km/h, 62.1 mph)",,1 kg (2 lb 3 1/4 oz),,,,,,,"10.6 km (5.7 nm, 6.58 mi) (typical, GPS/autonomous) 10.6 km (5.7 nm, 6.58 mi) (typical, GPS/autonomous) 15 km (8.1 nm, 9.32 mi) (maximum, GPS/autonomous) 15 km (8.1 nm, 9.32 mi) (maximum, GPS/autonomous)",,,,,,,,"3 kg (6 lb 9 3/4 oz) (maximum, dry)",,,,,2.58 m (8 ft 5 1/2 in) 2.58 m (8 ft 5 1/2 in),
SpyLite,,,,,"3 hr (typical, payload/environment/mission dependent) 4 hr (payload/environment/mission dependent)",,,,,,,,,,1.35 m (4 ft 5 1/4 in) 1.35 m (4 ft 5 1/4 in),"32.4 kt (60 km/h, 37.3 mph)",9.5 kg (21 lb),,,,"64.8 kt (120 km/h, 74.6 mph) 64.8 kt (120 km/h, 74.6 mph)",,1.5 kg (3 lb 5 oz),,"1,000 m (3,280 ft) (max; optimum, above ground level)",,,,,"50 km (27 nm, 31 mi) (typical maximum control range) 50 km (27 nm, 31 mi) (typical maximum control range) 80 km (43.2 nm, 49.7 mi) (extended maximum control range) 80 km (43.2 nm, 49.7 mi) (extended maximum control range)",,"9,145 m (30,000 ft) (proven)",,,,,,,,,,,2.75 m (9 ft 1/4 in) 2.75 m (9 ft 1/4 in),
Spy’Ranger 330,,,,"35.1 kt (65 km/h, 40.4 mph) 35.1 kt (65 km/h, 40.4 mph)",3 hr 0 min,,,,,,,,,,,,15 kg (33 lb),,,,"48.6 kt (90 km/h, 55.9 mph)",,1.2 kg (2 lb 10 1/4 oz) (provisional figure),,"1,000 m (3,280 ft) (est) (max)",,,,,"15 km (8.1 nm, 9.32 mi) (typical) 15 km (8.1 nm, 9.32 mi) (typical) 30 km (16.2 nm, 18.6 mi) 30 km (16.2 nm, 18.6 mi)",,,,,,,,,,,,,3.8 m (12 ft 5 1/2 in) (Thales figure) 4 m (13 ft 1 1/2 in) 4 m (13 ft 1 1/2 in),
Stalker VXE Block 30,,,,"31 kt (57.4 km/h, 35.7 mph) 31 kt (57.4 km/h, 35.7 mph)",4 hr 0 min (with battery) 8 hr 0 min (with fuel cell),,,,,,,,,,2.59 m (8 ft 6 in) 2.59 m (8 ft 6 in),,21.8 kg (48 lb) (with battery ),,,20 kg (44 lb) (with fuel cell),,,,"50 kt (92.6 km/h, 57.5 mph)",91.4 m (300 ft),,,,"222 km (120 nm, 138 mi) (with batteries) 222 km (120 nm, 138 mi) (with batteries) 433 km (234 nm, 269 mi) (with fuel cell)","161 km (87 nm, 100 mi) (communication) 161 km (87 nm, 100 mi) (communication)",,"3,657.6 m (12,000 ft)",,,,,,,,,,,4.87 m (15 ft 11 3/4 in) 4.87 m (15 ft 11 3/4 in),
Super Bat,,,,"35 kt (64.8 km/h, 40.3 mph)",10 hr 0 min,,,,,,700 mm (2 ft 3 1/2 in),,,,1.6 m (5 ft 3 in) 1.6 m (5 ft 3 in),,21.3 kg (47 lb) (including a full fuel load and a CCT TASE series imager),,,,"65 kt (120 km/h, 74.8 mph) 65 kt (120 km/h, 74.8 mph)",,2.3 kg (5 lb),,,,,,,"32.2 km (17.4 nm, 20 mi) (telemetry limited) 32.2 km (17.4 nm, 20 mi) (telemetry limited) 724 km (391 nm, 450 mi) (maximum, fuel limited) 724 km (391 nm, 450 mi) (maximum, fuel limited)",,"4,570 m (15,000 ft)",,,,,,,,,,,2.6 m (8 ft 6 1/4 in) 2.6 m (8 ft 6 1/4 in),
Super Salaar,,,,,1 hr 30 min,,,,,,,,,,1.5 m (4 ft 11 in) 1.5 m (4 ft 11 in),,8 kg (18 lb) (including payload),,,,"27 kt (50 km/h, 31.1 mph) 27 kt (50 km/h, 31.1 mph)",,,,,,,,,"14.8 km (8 nm, 9.21 mi) 14.8 km (8 nm, 9.21 mi)",,,,,,,,,,,,,2.5 m (8 ft 2 1/2 in) 2.5 m (8 ft 2 1/2 in),
Supercam S-300M,,,,"35.1 kt (65 km/h, 40.4 mph) 35.1 kt (65 km/h, 40.4 mph)",3 hr 30 min (4.5 hrs as an option),,,,,,,,,,,,10.5 kg (23 lb),,,,"64.8 kt (120 km/h, 74.6 mph) 64.8 kt (120 km/h, 74.6 mph)",,,,"5,000 m (16,405 ft) (Max) 50 m (164 ft) (Min)",,,,,"50 km (27 nm, 31.1 mi) (video link) 50 km (27 nm, 31.1 mi) (video link) 90 km (48.6 nm, 55.9 mi) (radio link, maximum) 90 km (48.6 nm, 55.9 mi) (radio link, maximum) 220 km (119 nm, 137 mi) (normal AV range maxima) 220 km (119 nm, 137 mi) (normal AV range maxima) 300 km (162 nm, 186 mi) (optional AV range maxima)",,"6,000 m (19,685 ft)",,,,,,,,,,,3 m (9 ft 10 in) 3 m (9 ft 10 in),
Supercam S250,,,,"35 kt (64.8 km/h, 40.3 mph) 35 kt (64.8 km/h, 40.3 mph)",3 hr 0 min,,,,,,,,,,,,9.5 kg (21 lb),,,,"65 kt (120 km/h, 74.8 mph) 65 kt (120 km/h, 74.8 mph)",,,,"5,000 m (16,405 ft) (Max)",,,,"150 km (81 nm, 93.2 mi) (maximum) 150 km (81 nm, 93.2 mi) (maximum)","25 km (13.5 nm, 15.5 mi) (video link) 25 km (13.5 nm, 15.5 mi) (video link) 70.4 km (38 nm, 43.7 mi) (radio link) 70.4 km (38 nm, 43.7 mi) (radio link)",,"5,000 m (16,405 ft)",,,,,,,,,,,2.5 m (8 ft 2 1/2 in) 2.5 m (8 ft 2 1/2 in),
Supercam S350,,,,"35.1 kt (65 km/h, 40.4 mph) 35.1 kt (65 km/h, 40.4 mph)",4 hr 30 min,,,,,,,,,,,,15 kg (33 lb),,,,"64.8 kt (120 km/h, 74.6 mph) 64.8 kt (120 km/h, 74.6 mph)",,2 kg (4 lb 6 1/2 oz),,"5,000 m (16,405 ft) (Max) 150 m (492 ft) (Min)",,,,"240 km (129.6 nm, 149 mi) 240 km (129.6 nm, 149 mi)","100 km (54 nm, 62.1 mi) (radio link) 100 km (54 nm, 62.1 mi) (radio link) 100 km (54 nm, 62.1 mi) (video link) 100 km (54 nm, 62.1 mi) (video link)",,"5,000 m (16,405 ft) (max)",,,,,,,,,,,3.2 m (10 ft 6 in) 3.2 m (10 ft 6 in),
Supercam S450,,,,"35 kt (64.8 km/h, 40.3 mph) 35 kt (64.8 km/h, 40.3 mph)",8 hr 0 min,,,,,,,,,,,,29 kg (64 lb),,,,"65 kt (120 km/h, 74.8 mph)",,,,"3,600 m (11,810 ft) (Min) 5,000 m (16,405 ft) (Max)",,,,,"80 km (43.2 nm, 49.7 mi) (video link) 80 km (43.2 nm, 49.7 mi) (video link) 110 km (59.4 nm, 68.4 mi) (radio link) 110 km (59.4 nm, 68.4 mi) (radio link)",,"5,000 m (16,405 ft) (max)",,,,,,,,,,,4.5 m (14 ft 9 1/4 in) 4.5 m (14 ft 9 1/4 in),
Surveyor,,,,"32  kt (59.3 km/h, 36.8 mph) 32  kt (59.3 km/h, 36.8 mph)",1 hr 30 min,,,,,,440 mm (1 ft 5 1/4 in) 440 mm (1 ft 5 1/4 in),,,,840 mm (2 ft 9 in),,6 kg (13 lb),,,,"54 kt (100 km/h, 62.1 mph) 54 kt (100 km/h, 62.1 mph)",,500 g (1 lb 1 3/4 oz),,"1,000 m (3,280 ft) (Max)",,,,"2.96 km (1.6 nm, 1.84 mi) (radio link limited) 2.96 km (1.6 nm, 1.84 mi) (radio link limited)",,,,,,,,,,,,,,2.44 m (8 ft) 2.44 m (8 ft),
Swan III,,,,"54 kt (100 km/h, 62.1 mph) 54 kt (100 km/h, 62.1 mph)","6 hr (minimum, flight profile/payload dependent)",,,,,,360 mm (1 ft 2 1/4 in),,,1.33 m (4 ft 4 1/4 in),1.96 m (6 ft 5 1/4 in) 1.96 m (6 ft 5 1/4 in),,15 kg (33 lb),,,,"70.2 kt (130 km/h, 80.8 mph) 70.2 kt (130 km/h, 80.8 mph)",,,,"2,500 m (8,200 ft) (max; above mean sea level) 150 m (492 ft) (min; above mean sea level)",,,,,"150 km (80.9 nm, 93.2 mi) (maximum)",,,,,,690 mm (2 ft 3 1/4 in) 690 mm (2 ft 3 1/4 in),,,,160 mm (6 1/4 in),,,3.08 m (10 ft 1 1/4 in) 3.08 m (10 ft 1 1/4 in),
T-15,,,,"50 kt (92.6 km/h, 57.5 mph) 50 kt (92.6 km/h, 57.5 mph)",12 hr ([minimum] payload & fuel load dependent) 24 hr (payload & fuel load dependent),,,,,,,,,,1.83 m (6 ft 0 in) 1.83 m (6 ft 0 in),,20 kg (45 lb),,,,"90 kt (167 km/h, 104 mph) 90 kt (167 km/h, 104 mph)",,4.5 kg (10 lb),,,,,,,,,,,,,,,9.1 kg (20 lb),,,,,3.05 m (10 ft 0 in) 3.05 m (10 ft 0 in),
T-Hawk,,,,"20 kt (37 km/h, 23 mph) at Altitude: 0 ft (0 m, 0 FL) (at 38°C) 20 kt (37 km/h, 23 mph) at Altitude: 0 ft (0 m, 0 FL) (at 38°C)","0 hr 40 min (at 7700 ft) 0 hr 50 min (at 1,675 m (5,500 ft)) 0 hr 50 min (at 38° and at S/L)",,,,,,559 mm (1 ft 10 in) (without pods) 559 mm (1 ft 10 in) (without pods) 597 mm (1 ft 11 1/2 in) (with pods) 597 mm (1 ft 11 1/2 in) (with pods),,,,,,9.1 kg (20 lb),,,,"40 kt (74.1 km/h, 46 mph) at Altitude: 0 ft (0 m, 0 FL) (airspeed maximum at 38°C) 40 kt (74.1 km/h, 46 mph) at Altitude: 0 ft (0 m, 0 FL) (airspeed maximum at 38°C) 50 kt (92.6 km/h, 57.5 mph) (nominal) 50 kt (92.6 km/h, 57.5 mph) (nominal) 70 kt (130 km/h, 80.6 mph) 70 kt (130 km/h, 80.6 mph)",,,,"0 m (0 ft) (min; normal; with full fuel load) 2,345 m (7,700 ft) (max; normal; with full fuel load) 2,925 m (9,600 ft) (reduced fuel load)",,,330 mm (1 ft 1 in),"10 km (5.4 nm, 6.21 mi) (mission) 10 km (5.4 nm, 6.21 mi) (mission)",,"457 m/min (1,499 ft/min) at Altitude: 0 ft (0 m) (at 38° and)","3,000 m (9,843 ft)",,,"15 kt (27.8 km/h, 17.3 mph) (take-off/landing at 38°C and at S/L)",,,2.3 kg (5 lb 1 1/4 oz) 7.9 kg (17 lb) (AV dry weight),,,,,,
Tahion,,,,"41 kt (75.9 km/h, 47.2 mph) (minimum) 41 kt (75.9 km/h, 47.2 mph) (minimum) 45.9 kt (85 km/h, 52.8 mph) (max) 45.9 kt (85 km/h, 52.8 mph) (max)",2 hr 0 min 10 hr 0 min (total endurance resource),,,,,,,,,,610 mm (2 ft),,17.42 kg (38 lb),,,,"54 kt (100 km/h, 62.1 mph) 54 kt (100 km/h, 62.1 mph)",,1 kg (2 lb 3 1/4 oz),,"4,000 m (13,125 ft) (Max; ASL) 50 m (164 ft) (Min)",,,,,"40 km (21.6 nm, 24.9 mi) (LOS) 40 km (21.6 nm, 24.9 mi) (LOS)",,,"35.1 kt (65 km/h, 40.4 mph)",,,,,,,,,,1.8 m (5 ft 10 3/4 in) 1.8 m (5 ft 10 3/4 in),
Talash 1,,,,,0 hr 30 min,,,,,,,,,,1.70 m (5 ft 7 in) 1.70 m (5 ft 7 in),,12 kg (26 lb),,,,"48 kt (88.9 km/h, 55.2 mph) 48 kt (88.9 km/h, 55.2 mph)",,,,,,,,"500 m (0.2699 nm, 1,640 ft) (radio control) 500 m (0.2699 nm, 1,640 ft) (radio control)",,,"2,745 m (9,000 ft)",,,,,,,,,,,2.64 m (8 ft 8 in),
Talash 2,,,,,0 hr 30 min,,,,,,,,,,1.90 m (6 ft 2 3/4 in) 1.90 m (6 ft 2 3/4 in),,11 kg (24 lb),,,,"65 kt (120 km/h, 74.8 mph) 65 kt (120 km/h, 74.8 mph)",,,,,,,,"500 m (0.2699 nm, 1,640 ft) (radio control)",,,"2,745 m (9,000 ft)",,,,,,,,,,,2.10 m (6 ft 10 3/4 in) 2.10 m (6 ft 10 3/4 in),
Talon 120,,,,,1 hr 30 min (typical) 2 hr 0 min (maximum) 2 hr 0 min (typical; Talon 120LE) 2 hr 30 min (maximum; Talon 120LE),,,,,,,,,,1.83 m (6 ft 0 in) 1.83 m (6 ft 0 in) 1.83 m (6 ft 0 in) (Talon 120LE),,7.3 kg (16 lb) (gross; Talon 120LE) 13 kg (29 lb) (gross),,,,,,1.1 kg (2 lb 8 oz) 1.1 kg (2 lb 8 oz) (Talon 120LE),,"15.2 m (50 ft) (typical, above ground level, up to 3,048 m (10,000 ft) above mean sea level; Talon 120LE) 15.2 m (50 ft) (typical, above ground level, up to 3,048 m (10,000 ft) above mean sea level) 152 m (500 ft) (max; above ground level, up to 3,048 m (10,000 ft) above mean sea level; Talon 120LE) 152 m (500 ft) (max; above ground level, up to 3,048 m (10,000 ft) above mean sea level)",,,,,"12.8 km (6.9 nm, 8 mi) (LOS; Talon 120LE) 12.8 km (6.9 nm, 8 mi) (LOS; Talon 120LE) 12.8 km (6.9 nm, 8 mi) (LOS) 12.8 km (6.9 nm, 8 mi) (LOS)",,,,,,,,,,,,,3.81 m (12 ft 6 in) 3.81 m (12 ft 6 in) 3.81 m (12 ft 6 in) (Talon 120LE) 3.81 m (12 ft 6 in) (Talon 120LE),
